#Please keep tags sorted on alphabetical use when you add/remove country tags

EUR = "countries/Europeanunion.txt"

#Early European Countries
ALM	= "countries/Alemanni.txt"
AGC	= "countries/Algeciras.txt"
ALR	= "countries/Almeria.txt"
ASR	= "countries/Asturias.txt"
BDJ	= "countries/Badajoz.txt"
CRD	= "countries/Cordoba.txt"
DEN	= "countries/Denia.txt"
MJR	= "countries/Majorca.txt"
MLL	= "countries/Mallorca.txt"
MUC	= "countries/Murcia.txt"
SEV	= "countries/Seville.txt"
SLV	= "countries/Silves.txt"
TOL	= "countries/Toledo.txt"
TOR	= "countries/Tortosa.txt"
VAL	= "countries/Valencia.txt"
VAS	= "countries/Vasconia.txt"
ZAR	= "countries/Zaragoza.txt"
		
#Italy
BAE	= "countries/Bari.txt"
BNV	= "countries/Benevento.txt"
BRS	= "countries/Brescia.txt"
CUN	= "countries/Cuneo.txt"
ITC     = "countries/CentralItaly.txt"
LOM	= "countries/Lombardy.txt"
MLT	= "countries/Malta2.txt"
NIC	= "countries/Nice.txt"
RAV	= "countries/Ravenna.txt"
SCL	= "countries/EmirateofSicily.txt"
SLN	= "countries/Salerno.txt"
TVS	= "countries/Treviso.txt"
VRN	= "countries/Verona.txt"
	
#Low Countries
BEL	= "countries/Belgium.txt"
LIM	= "countries/Limburg.txt"
NAM	= "countries/Namur.txt"
	
#Russia 
ABK	= "countries/Abkhazia.txt"
ALA	= "countries/Alans.txt"
AZE	= "countries/Azerbaijan.txt"
BLR	= "countries/Belarus.txt"
BSP	= "countries/Bosporus.txt"
CLB	= "countries/CaucasianAlbania.txt"
CUD	= "countries/Chud.txt"
CUM	= "countries/Cumans.txt"
DRE	= "countries/Dregovichs.txt"
DRV	= "countries/Drevlians.txt"
IBE	= "countries/Iberia.txt"
ILM	= "countries/IlmenSlavs.txt"
KHZ	= "countries/Khazars.txt"
KKE	= "countries/Kakheti.txt"
KRI	= "countries/Krivichs.txt"
KRU	= "countries/KievanRus.txt"
LND	= "countries/Lendians.txt"
MAA	= "countries/Mari.txt"
MRY	= "countries/Merya.txt"
MSK	= "countries/Minsk.txt"
MUR 	= "countries/Murom.txt"
PEC	= "countries/Pechenegs.txt"
PRY	= "countries/Pereyaslav.txt"
SIR	= "countries/Siraces.txt"
SOV	= "countries/SovietUnion.txt"
SRM	= "countries/Sarmatians.txt"
SVR	= "countries/Severians.txt"
VBU	= "countries/VolgaBulgaria.txt"
VEP	= "countries/Veps.txt"
VLA	= "countries/VladimirSuzdal.txt"
VYA	= "countries/Vyatihs.txt"

#Crusader States
ANT	= "countries/Antioch.txt"
EDE	= "countries/Edessa.txt"
TPL	= "countries/CountyOfTripoli.txt"

#Arabia	
ADX	= "countries/Ad.txt"
ASY	= "countries/Assyria.txt"
ASX	= "countries/Asir.txt"
BAB	= "countries/Babylon.txt"
BHR	= "countries/Bahrain.txt"
BNA	= "countries/BanuNadir.txt"
GHS	= "countries/Ghassanids.txt"
GRR	= "countries/Gerrha.txt"
HDR	= "countries/Hadramaut.txt"
HIM	= "countries/Himyar.txt"
ISL	= "countries/IslamicState.txt"
ISR	= "countries/Israel.txt"
JOR	= "countries/Jordania.txt"
JUD	= "countries/Judea.txt"
KIN	= "countries/Kindah.txt"
KUW	= "countries/Kuwait.txt"
LAK	= "countries/Lakhmids.txt"
MNA	= "countries/Minaea.txt"
MSQ	= "countries/Masqat.txt"
NAB	= "countries/Nabatea.txt"
PLM	= "countries/Palmyra.txt"
PLS	= "countries/Palestine.txt"
QAT	= "countries/Qataban.txt"
QRM	= "countries/Qarmatians.txt"
QTR	= "countries/Qatar.txt"
QUR	= "countries/Quraysh.txt"
RAS	= "countries/Rashidun.txt"
SAA	= "countries/Saba.txt"
SAU	= "countries/SaudiArabia.txt"
THM	= "countries/Thamud.txt"
UAE	= "countries/UnitedArabEmirates.txt"
UMA	= "countries/Umayyad.txt"
YEM	= "countries/SouthYemen.txt"
ZNG	= "countries/Zengid.txt"
		
#Asia Minor		
ANG	= "countries/Angora.txt"
CAP	= "countries/Cappadocia.txt"
DNI	= "countries/Danishmend.txt"
KNY	= "countries/Konya.txt"
NCA	= "countries/Nicaea.txt"
PON	= "countries/Pontus.txt"
RUM	= "countries/Rum.txt"
SLT	= "countries/Saltukid.txt"
TEK	= "countries/Teke.txt"
TKY	= "countries/Turkey.txt"
	
#Maghreb
ABB	= "countries/Abbasid.txt"
AGR	= "countries/Algeria.txt"
ALT	= "countries/Altava.txt"
AMH	= "countries/Almohad.txt"
AMR	= "countries/Almoravid.txt"
AYY	= "countries/Ayyubid.txt"
BGW	= "countries/Barghawata.txt"
CEU	= "countries/Ceuta.txt"
FAT	= "countries/Fatimid.txt"
LIB	= "countries/Libya.txt"
MOO	= "countries/Moors.txt"
MRN	= "countries/Mauretania.txt"
TUL	= "countries/Tulunids.txt"
		
#Central Asia
CBN	= "countries/Chuban.txt"
GOK	= "countries/Gokturks.txt"
HEP	= "countries/Hephthalite.txt"
KGA	= "countries/Kangar.txt"
KGJ	= "countries/Kangju.txt"
KHW	= "countries/Khwarezmid.txt"
KID	= "countries/Kidarite.txt"
KKH	= "countries/Kara-Khanid.txt"
KKT	= "countries/Kara-Khitai.txt"
KLU	= "countries/Karluks.txt"
KRT	= "countries/Kartid.txt"
KUS	= "countries/Kushan.txt"
KYR	= "countries/Kyrgyzstan.txt"
KZK	= "countries/Kazakhstan.txt"
ODD	= "countries/Oddiyana.txt"
OGH	= "countries/Oghuz.txt"
PAK	= "countries/Pakistan.txt"
SHH	= "countries/Shahi.txt"
SOG	= "countries/Sogdiana.txt"
TJK	= "countries/Tajikistan.txt"
TRG	= "countries/Turgesh.txt"
TRK	= "countries/Turkmenistan.txt"
UZB	= "countries/Uzbekistan.txt"
WGO	= "countries/WesternGokturks.txt"
ZAB	= "countries/Zabul.txt"


#Persia	
ADB	= "countries/Adiabene.txt"
ATR	= "countries/Atropatene.txt"
BUY	= "countries/Buyyids.txt"
CHB	= "countries/Chobanids.txt"
GHU	= "countries/Ghurid.txt"
GHZ	= "countries/Ghaznavid.txt"
ILK	= "countries/Ilkhanate.txt"
INJ	= "countries/Injuid.txt"
IPA	= "countries/Indo-Parthia.txt"
IRA	= "countries/Iran.txt"
MOZ	= "countries/Mozaffarid.txt"
OSR	= "countries/Osroene.txt"
PRT	= "countries/Parthia.txt"
SAF	= "countries/Saffarid.txt"
SAM	= "countries/Samanid.txt"
SAS	= "countries/Sassanid.txt"
SEL	= "countries/Seljuks.txt"
SHB	= "countries/Shabankara.txt"
TAH	= "countries/Tahirid.txt"
WSA	= "countries/WesternSatraps.txt"

#Americas
CAL	= "countries/Calakmul.txt"
COP	= "countries/Copan.txt"
HOH	= "countries/Hohokam.txt"
HRI	= "countries/Huari.txt"
MIS	= "countries/Mississippi.txt"
MOC	= "countries/Moche.txt"
MOG	= "countries/Mogollon.txt"
NAZ	= "countries/Nazca.txt"
PLA	= "countries/Plaquemine.txt"
PLQ	= "countries/Palenque.txt"
TEO	= "countries/Teotihuacan.txt"
TIK	= "countries/Tikal.txt"
TIW	= "countries/Tiwanaku.txt"
TLT	= "countries/Toltec.txt"

#Africa
AGL	= "countries/Angola.txt"
AKS	= "countries/Aksum.txt"
ATS	= "countries/Antaisaka.txt"
BET	= "countries/Betsimisaraka.txt"
BFA	= "countries/BurkinaFaso.txt"
BLE	= "countries/Blemmyes.txt"
BOI	= "countries/Boina.txt"
BOT	= "countries/Botswana.txt"
BRD	= "countries/Burundi.txt"
BRX	= "countries/Bara.txt"
BUG	= "countries/Buganda.txt"
CAF	= "countries/CentralAfrica.txt"
CDD	= "countries/Chad.txt"
CMO	= "countries/Comores.txt"
CMR	= "countries/Cameroon.txt"
CNG	= "countries/Congo.txt"
CPV	= "countries/CapeVerde.txt"
DER	= "countries/Dervish.txt"
DJI	= "countries/Djibouti.txt"
DRC	= "countries/DemRepCongo.txt"
EQG	= "countries/EquatorialGuinea.txt"
ERI	= "countries/Eritrea.txt"
GAB	= "countries/Gabon.txt"
GAM	= "countries/Gambia.txt"
GBI	= "countries/GuineaBissau.txt"
GHA	= "countries/Ghana.txt"
GUI	= "countries/Guinea.txt"
IFA	= "countries/Ifat.txt"
IVO	= "countries/IvoryCoast.txt"
KAG	= "countries/Kangaba.txt"
KEY	= "countries/Kenya.txt"
LBR	= "countries/Liberia.txt"
LES	= "countries/Lesotho.txt"
MDG	= "countries/Madagascar.txt"
MEO	= "countries/Meroe.txt"
MNB	= "countries/Menabe.txt"
MRA	= "countries/Merina.txt"
MRT	= "countries/Mauritania.txt"
MTU	= "countries/Mauritius.txt"
MWI	= "countries/Malawi.txt"
MZM	= "countries/Mozambique.txt"
NGR	= "countries/Niger.txt"
NIG	= "countries/Nigeria.txt"
NMB	= "countries/Namibia.txt"
NOB	= "countries/Nobatia.txt"
NTL	= "countries/Natalia.txt"
OFS	= "countries/OrangeFreeState.txt"
RSA	= "countries/SouthAfrica.txt"
RWA	= "countries/Rwanda.txt"
SEY	= "countries/Seychelles.txt"
SGL	= "countries/Senegal.txt"
SIJ	= "countries/Sijilmasa.txt"
SKL	= "countries/Sakalava.txt"
SLE	= "countries/SierraLeone.txt"
SOM	= "countries/Somalia.txt"
SSU	= "countries/SouthSudan.txt"
STP	= "countries/SaoTomeAndPrincipe.txt"
SUD	= "countries/Sudan.txt"
SWZ	= "countries/Swaziland.txt"
TAK	= "countries/Takrur.txt"
TNZ	= "countries/Tanzania.txt"
TOG	= "countries/Togo.txt"
UGA	= "countries/Uganda.txt"
WSH	= "countries/WesternSahara.txt"
XHO	= "countries/Xhosa.txt"
ZAM	= "countries/Zambia.txt"
ZIB	= "countries/Zimbabwe.txt"
ZUL	= "countries/Zululand.txt"
ZZB	= "countries/Zanzibar.txt"

#Japan
EMI	= "countries/Emishi.txt"
IZU	= "countries/Izumo.txt"
KIB	= "countries/Kibi.txt"
KYU	= "countries/Kyushu.txt"
YAM	= "countries/Yamato.txt"

#Far East
BKJ	= "countries/Baekje.txt"
BLH	= "countries/Balhae.txt"
BRM	= "countries/Burma.txt"
CEN	= "countries/Chen.txt"
CHN	= "countries/China.txt"
CMB	= "countries/Cambodia.txt"
CNA	= "countries/Chenla.txt"
CUU	= "countries/Chu.txt"
DON	= "countries/Dongye.txt"
DVA	= "countries/Dvaravati.txt"
ETI	= "countries/EastTimor.txt"
FUN	= "countries/Funan.txt"
GOG	= "countries/Goguryeo.txt"
HND	= "countries/Han.txt"
HOT	= "countries/Hotan.txt"
HRP	= "countries/Hariphunchai.txt"
HUY	= "countries/SaHuynh.txt"
IDN	= "countries/Indonesia.txt"
KDR	= "countries/Kediri.txt"
KER	= "countries/Kereits.txt"
KHT	= "countries/Khitans.txt"
KMO	= "countries/KhamagMongol.txt"
KNT	= "countries/Kantoli.txt"
LAO	= "countries/Laos.txt"
LAV	= "countries/Lavo.txt"
LIO	= "countries/Liao.txt"
LGK	= "countries/Langkasuka.txt"
LSO	= "countries/LiuSong.txt"
MCK	= "countries/Manchukuo.txt"
MGE	= "countries/MongolEmpire.txt"
MHN	= "countries/Mahan.txt"
MLA	= "countries/Malaysia.txt"
MNM	= "countries/Myanmar.txt"
MNN	= "countries/Min.txt"
MNX	= "countries/Mon.txt"
MRK	= "countries/Merkits.txt"
MYI	= "countries/Myinsaing.txt"
NAI	= "countries/Naimans.txt"
NAN	= "countries/Nanzhao.txt"
NKO	= "countries/NorthKorea.txt"
NVI	= "countries/NorthVietnam.txt"
PAG	= "countries/Pagan.txt"
PHI	= "countries/Philippines.txt"
PPA	= "countries/PanPan.txt"
PYU	= "countries/Pyu.txt"
ROU	= "countries/Rouran.txt"
SAG	= "countries/Sagaing.txt"
SGA	= "countries/Singapore.txt"
SIN	= "countries/Singhasari.txt"
SKO	= "countries/SouthKorea.txt"
SLK = "countries/Salakanagara.txt"
SLL	= "countries/Silla.txt"
SNG	= "countries/Song.txt"
SRI	= "countries/Srivijaya.txt"
SUI	= "countries/Sui.txt"
SVI	= "countries/SouthVietnam.txt"
SXI	= "countries/SouthernXiongnu.txt"
TAT	= "countries/Tatars.txt"
THA	= "countries/Thaton.txt"
THL	= "countries/Thailand.txt"
TRM	= "countries/Tarumanagara.txt"
TTU = "countries/TannuTuva.txt"
TUV	= "countries/Tuvans.txt"
TWN	= "countries/Taiwan.txt"
UIG	= "countries/Uighur.txt"
VTN	= "countries/Vietnam.txt"
WEI	= "countries/Wei.txt"
WUY	= "countries/Wuyue.txt"
XIA	= "countries/Xia.txt"
XIB	= "countries/Xianbei.txt"
XIO	= "countries/Xiongnu.txt"
XIY	= "countries/Xiyu.txt"
YUA	= "countries/Yuan.txt"
ZAO	= "countries/Zhao.txt"
ZHA	= "countries/Zhangzhung.txt"

#India
ABH	= "countries/Abhira.txt"
AYX	= "countries/Ay.txt"
BAA	= "countries/Bana.txt"
BGD	= "countries/Bangladesh.txt"
CCH	= "countries/Chauchan.txt"
CEA	= "countries/Chera.txt"
CLS	= "countries/Cholas.txt"
CLY	= "countries/Chalukya.txt"
DAK	= "countries/Daksina.txt"
DAS	= "countries/Dasarna.txt"
GAH	= "countries/Gahadvala.txt"
GAN	= "countries/Ganga.txt"
GUP	= "countries/Gupta.txt"
GUR	= "countries/Gurjara.txt"
HOY	= "countries/Hoysala.txt"
HRK	= "countries/Harikela.txt"
HRS	= "countries/Harsha.txt"
IGR	= "countries/IndoGreeks.txt"
IND	= "countries/India.txt"
KAD	= "countries/Kadamba.txt"
KAK	= "countries/Kakatiya.txt"
KAL	= "countries/Kalinga.txt"
KGU	= "countries/Kongu.txt"
KLA	= "countries/Kalabhras.txt"
KLC	= "countries/Kalachuri.txt"
KNK = "countries/Konkan.txt"
KUN	= "countries/Kuninda.txt"
MHJ	= "countries/Mahajanapada.txt"
MAU	= "countries/Maukhari.txt"
MGH	= "countries/Magadha.txt"
MLD 	= "countries/Maldive.txt"
NIZ	= "countries/DevaBengal.txt"
PAA	= "countries/Pala.txt"
PAN	= "countries/Pandya.txt"
PLL	= "countries/Pallava.txt"
PNC	= "countries/Panchala.txt"
PRR	= "countries/Paramara.txt"
PUZ	= "countries/Puzhinadu.txt"
RED	= "countries/Reddy.txt"
RSH	= "countries/Rashtrakuta.txt"
SAT	= "countries/Satavahana.txt"
SEN	= "countries/Sena.txt"
SRL	= "countries/SriLanka.txt"
SUH	= "countries/Suhma.txt"
TAA	= "countries/Taank.txt"
TOM	= "countries/Tomar.txt"
VAK	= "countries/Vakataka.txt"
VAT	= "countries/Vatsa.txt"
VGA	= "countries/Vanga.txt"
VNG	= "countries/Vengi.txt"
YAD	= "countries/Yadava.txt"
YAU	= "countries/Yaudheya.txt"

#Oceania
FIJ	= "countries/Fiji.txt"
HAW	= "countries/Hawaii.txt"
KIR	= "countries/Kiribati.txt"
MIC	= "countries/Micronesia.txt"
MRS	= "countries/MarshallIslands.txt"
NAU	= "countries/Nauru.txt"
NZL	= "countries/NewZealand.txt"
PLU	= "countries/Palau.txt"
PNG	= "countries/PapuaNewGuinea.txt"
SAO	= "countries/Samoa.txt"
SOL	= "countries/SolomonIslands.txt"
TON	= "countries/Tonga.txt"
TVL	= "countries/Tuvalu.txt"
VNU	= "countries/Vanuatu.txt"
